"Born2Shine"
"Thailand"
"25/06/2026"
"10:33:19"
detection,detectedtime,qrcode detected data
1,10:33:49,co-a4-hc-3.4mm-1
2,10:33:50,co-a4-hc-2.8mm-1
3,10:33:55,co-a4-hc-1.2mm-1
4,10:33:55,co-a4-hc-2mm-1
5,10:33:55,co-a4-hc-3.4mm-1
6,10:33:56,co-a4-hc-1.4mm-1
7,10:33:56,co-a4-hc-1mm-1
8,10:33:57,co-a4-hc-2.8mm-1
9,10:33:58,co-a4-hc-1.7mm-1
10,10:33:58,co-a4-hc-2.4mm-1
11,10:34:00,co-a4-hc-1.2mm-1
12,10:34:00,co-a4-hc-2mm-1
13,10:34:00,co-a4-hc-3.4mm-1
14,10:34:01,co-a4-hc-1.4mm-1
15,10:34:01,co-a4-hc-1mm-1
16,10:34:03,co-a4-hc-1.7mm-1
17,10:34:03,co-a4-hc-2.4mm-1
18,10:34:07,co-a4-hc-1.2mm-1
19,10:34:07,co-a4-hc-2mm-1
20,10:34:07,co-a4-hc-3.4mm-1
21,10:34:07,co-a4-hc-1mm-1
22,10:34:08,co-a4-hc-1.4mm-1
23,10:34:08,co-a4-hc-1.7mm-1
24,10:34:08,co-a4-hc-2.4mm-1
25,10:34:09,co-a4-hc-2.8mm-1
26,10:34:12,co-a4-hc-1.2mm-1
27,10:34:12,co-a4-hc-2mm-1
28,10:34:12,co-a4-hc-3.4mm-1
29,10:34:12,co-a4-hc-1mm-1
30,10:34:14,co-a4-hc-1.4mm-1
31,10:34:14,co-a4-hc-1.7mm-1
32,10:34:14,co-a4-hc-2.4mm-1
33,10:34:14,co-a4-hc-2.8mm-1
34,10:34:17,co-a4-hc-3.4mm-1
35,10:35:57,co-a4-hc-2.8mm-1
36,10:35:57,co-a4-hc-3.4mm-1
37,10:36:00,co-a4-hc-2.4mm-1
38,10:36:00,co-a4-hc-1.4mm-1
39,10:36:00,co-a4-hc-1.7mm-1
40,10:36:00,co-a4-hc-2mm-1
41,10:36:02,co-a4-hc-1.2mm-1
42,10:36:02,co-a4-hc-2.8mm-1
43,10:36:02,co-a4-hc-3.4mm-1
44,10:36:06,co-a4-hc-2mm-1
45,10:36:06,co-a4-hc-2.4mm-1
46,10:36:06,co-a4-hc-1.4mm-1
47,10:36:06,co-a4-hc-1.7mm-1
48,10:36:07,co-a4-hc-1mm-1
49,10:36:07,co-a4-hc-1.2mm-1
50,10:36:07,co-a4-hc-2.8mm-1
51,10:36:07,co-a4-hc-3.4mm-1
52,10:36:11,co-a4-hc-2mm-1
53,10:36:11,co-a4-hc-2.4mm-1
54,10:36:11,co-a4-hc-1.4mm-1
55,10:36:11,co-a4-hc-1.7mm-1
56,10:36:13,co-a4-hc-1.2mm-1
57,10:36:13,co-a4-hc-3.4mm-1
58,10:36:13,co-a4-hc-2.8mm-1
59,10:36:16,co-a4-hc-2mm-1
60,10:36:16,co-a4-hc-2.4mm-1
61,10:36:16,co-a4-hc-1.4mm-1
62,10:36:16,co-a4-hc-1.7mm-1
63,10:36:17,co-a4-hc-1mm-1
64,10:36:18,co-a4-hc-1.2mm-1
65,10:36:18,co-a4-hc-2.8mm-1
66,10:36:18,co-a4-hc-3.4mm-1
