n,id,time,map_x,map_y,yaw
1,test-1,12:00:00,1.5000,2.5000,0.5000
26,co-a4-hc-3.4mm-1,19:16:43,0.4430,0.7365,-1.1545
1,co-a4-hc-1.4mm-1,19:20:23,0.5944,0.8576,-1.6061
8,co-a4-hc-2mm-1,19:20:29,0.7037,0.8666,-1.6581
1,co-a4-hc-1.4mm-1,09:27:38,0.7272,0.1159,-2.9073
8,co-a4-hc-1.4mm-1,09:27:43,0.7299,0.1200,-2.8683
16,co-a4-hc-1.7mm-1,09:27:49,0.7271,0.1333,-2.8249
22,co-a4-hc-1.2mm-1,09:27:52,0.7187,0.1569,-2.8259
29,co-a4-hc-1.2mm-1,09:27:59,0.7153,0.1774,-2.8353
36,co-a4-hc-1.2mm-1,09:28:04,0.7271,0.1458,-2.8015
43,co-a4-hc-1.2mm-1,09:28:09,0.7559,0.0807,-2.8036
51,co-a4-hc-2mm-1,09:28:14,0.7350,0.1374,-2.7796
58,co-a4-hc-2mm-1,09:28:20,0.7019,0.1951,-2.7847
1,co-a4-hc-1.7mm-1,09:30:56,0.5561,0.2128,-2.7404
6,co-a4-hc-1.4mm-1,09:31:00,0.6110,0.0557,-2.7381
12,co-a4-hc-3.4mm-1,09:31:07,0.6611,0.0131,-2.6651
20,co-a4-hc-3.4mm-1,09:31:12,0.6641,0.0041,-2.6174
