n,id,time,map_x,map_y,yaw
1,co-a4-hc-1.7mm-1,10:28:25,-0.4770,1.2389,-0.8756
4,co-a4-hc-1mm-1,10:29:48,-0.2662,1.4731,-1.5568
8,co-a4-hc-3.4mm-1,10:29:53,-0.2565,1.4775,-1.3910
12,co-a4-hc-3.4mm-1,10:29:59,-0.2547,1.4764,-1.3527
15,co-a4-hc-1mm-1,10:30:03,-0.5029,1.4442,-1.3316
21,co-a4-hc-2mm-1,10:30:06,-0.5303,1.4338,-1.3331
27,co-a4-hc-1mm-1,10:30:10,-0.5221,1.4337,-1.3421
31,co-a4-hc-1.4mm-1,10:30:13,-0.5180,1.4341,-1.3398
1,co-a4-hc-1.7mm-1,10:36:38,-0.3303,1.5938,-1.3914
9,co-a4-hc-1.7mm-1,10:36:43,-0.3337,1.5951,-1.4332
